"name";"onsCode";"nomiscode";"nomisoacodes"
"Brighton and Hove";"E06000043";1946157280;"1254179342...1254180247;1254264686...1254264705"
"Isle of Wight";"E06000046";1946157281;"1254181578...1254182026;1254264529...1254264545"
"Medway";"E06000035";1946157282;"1254175437...1254176223;1254259672...1254259710"
"Milton Keynes";"E06000042";1946157283;"1254178696...1254179341;1254266864...1254267005"
"Portsmouth";"E06000044";1946157284;"1254180248...1254180866;1254258346...1254258346;1254266015...1254266044"
"Reading";"E06000038";1946157285;"1254177009...1254177454;1254266045...1254266094"
"Slough";"E06000039";1946157286;"1254177455...1254177799;1254259070...1254259111"
"Southampton";"E06000045";1946157287;"1254180867...1254181577;1254259294...1254259348"
"West Berkshire";"E06000037";1946157288;"1254176558...1254177008;1254264498...1254264528"
"Windsor and Maidenhead";"E06000040";1946157289;"1254177800...1254178235;1254259112...1254259125"
"Wokingham";"E06000041";1946157290;"1254178236...1254178695;1254259349...1254259369"
"Aylesbury Vale";"E07000004";1946157291;"1254183235...1254183746;1254261295...1254261346"
"Chiltern";"E07000005";1946157292;"1254183747...1254184033;1254258348...1254258349"
"South Bucks";"E07000006";1946157293;"1254184034...1254184232;1254261347...1254261348"
"Wycombe";"E07000007";1946157294;"1254184233...1254184737;1254258350...1254258351;1254264453...1254264473"
"Eastbourne";"E07000061";1946157295;"1254200051...1254200370;1254259919...1254259952"
"Hastings";"E07000062";1946157296;"1254200371...1254200667;1254263986...1254263997"
"Lewes";"E07000063";1946157297;"1254200668...1254200985;1254259953...1254259956"
"Rother";"E07000064";1946157298;"1254200986...1254201295;1254263521...1254263525"
"Wealden";"E07000065";1946157299;"1254201296...1254201762;1254262926...1254262934"
"Basingstoke and Deane";"E07000084";1946157300;"1254207985...1254208467;1254260103...1254260175"
"East Hampshire";"E07000085";1946157301;"1254208468...1254208821;1254258356...1254258358;1254258367...1254258367;1254264004...1254264015"
"Eastleigh";"E07000086";1946157302;"1254208822...1254209192;1254260281...1254260312"
"Fareham";"E07000087";1946157303;"1254209193...1254209538;1254260351...1254260361"
"Gosport";"E07000088";1946157304;"1254209539...1254209779;1254260362...1254260392"
"Hart";"E07000089";1946157305;"1254209780...1254210038;1254260176...1254260198"
"Havant";"E07000090";1946157306;"1254210039...1254210419;1254258347...1254258347;1254258359...1254258361;1254260393...1254260394"
"New Forest";"E07000091";1946157307;"1254210420...1254211002;1254263411...1254263419"
"Rushmoor";"E07000092";1946157308;"1254211003...1254211274;1254260199...1254260227"
"Test Valley";"E07000093";1946157309;"1254211275...1254211627;1254260313...1254260329"
"Winchester";"E07000094";1946157310;"1254211628...1254211974;1254260228...1254260244"
"Ashford";"E07000105";1946157311;"1254215305...1254215632;1254259838...1254259884"
"Canterbury";"E07000106";1946157312;"1254215633...1254216065;1254259800...1254259837"
"Dartford";"E07000107";1946157313;"1254216066...1254216339;1254259711...1254259749"
"Dover";"E07000108";1946157314;"1254216340...1254216691;1254263495...1254263500"
"Gravesham";"E07000109";1946157315;"1254216692...1254216991;1254259750...1254259765"
"Maidstone";"E07000110";1946157316;"1254216992...1254217437;1254262399...1254262442"
"Sevenoaks";"E07000111";1946157317;"1254217438...1254217794;1254258362...1254258362;1254263970...1254263976"
"Shepway";"E07000112";1946157318;"1254217795...1254218123;1254263501...1254263520"
"Swale";"E07000113";1946157319;"1254218124...1254218509;1254259181...1254259192;1254259247...1254259279"
"Thanet";"E07000114";1946157320;"1254218510...1254218949;1254259280...1254259293"
"Tonbridge and Malling";"E07000115";1946157321;"1254218950...1254219287;1254258363...1254258363;1254259885...1254259918"
"Tunbridge Wells";"E07000116";1946157322;"1254219288...1254219632;1254263977...1254263985"
"Cherwell";"E07000177";1946157323;"1254237857...1254238274;1254261206...1254261235"
"Oxford";"E07000178";1946157324;"1254238275...1254238669;1254264427...1254264452;1254266809...1254266823"
"South Oxfordshire";"E07000179";1946157325;"1254238670...1254239089;1254264892...1254264902"
"Vale of White Horse";"E07000180";1946157326;"1254239090...1254239463;1254264903...1254264922"
"West Oxfordshire";"E07000181";1946157327;"1254239464...1254239772;1254261255...1254261294"
"Elmbridge";"E07000207";1946157328;"1254247304...1254247703;1254262492...1254262497"
"Epsom and Ewell";"E07000208";1946157329;"1254247704...1254247914;1254258366...1254258366;1254258530...1254258544;1254258571...1254258572"
"Guildford";"E07000209";1946157330;"1254247915...1254248336;1254260038...1254260050"
"Mole Valley";"E07000210";1946157331;"1254248337...1254248608;1254262443...1254262447"
"Reigate and Banstead";"E07000211";1946157332;"1254248609...1254249016;1254262448...1254262476"
"Runnymede";"E07000212";1946157333;"1254249017...1254249265;1254260059...1254260070"
"Spelthorne";"E07000213";1946157334;"1254249266...1254249571;1254260071...1254260076"
"Surrey Heath";"E07000214";1946157335;"1254249572...1254249823;1254260077...1254260090"
"Tandridge";"E07000215";1946157336;"1254249824...1254250074;1254258312...1254258312;1254262477...1254262491"
"Waverley";"E07000216";1946157337;"1254250075...1254250452;1254258368...1254258368;1254260051...1254260058"
"Woking";"E07000217";1946157338;"1254250453...1254250749;1254260091...1254260102"
"Adur";"E07000223";1946157339;"1254252436...1254252639;1254260020...1254260026"
"Arun";"E07000224";1946157340;"1254252640...1254253141;1254264002...1254264003;1254264483...1254264497"
"Chichester";"E07000225";1946157341;"1254253142...1254253509;1254259002...1254259014"
"Crawley";"E07000226";1946157342;"1254253510...1254253825;1254259965...1254259982"
"Horsham";"E07000227";1946157343;"1254253826...1254254219;1254259983...1254260003"
"Mid Sussex";"E07000228";1946157344;"1254254220...1254254635;1254260004...1254260019"
"Worthing";"E07000229";1946157345;"1254254636...1254254988"
"Bath and North East Somerset";"E06000022";1946157346;"1254167216...1254167790;1254262333...1254262340"
"Bournemouth";"E06000028";1946157347;"1254171733...1254172294;1254264546...1254264577"
"Bristol; City of";"E06000023";1946157348;"1254167791...1254169049;1254258287...1254258288;1254265681...1254265693;1254265848...1254265880;1254265889...1254265949"
"Cornwall";"E06000052";1946157349;"1254188761...1254190484;1254264578...1254264645"
"Isles of Scilly";"E06000053";1946157350;"1254190485...1254190493"
"North Somerset";"E06000024";1946157351;"1254169050...1254169684;1254258647...1254258716"
"Plymouth";"E06000026";1946157352;"1254170476...1254171276;1254263910...1254263957"
"Poole";"E06000029";1946157353;"1254172295...1254172762;1254263958...1254263969"
"South Gloucestershire";"E06000025";1946157354;"1254169685...1254170475;1254264777...1254264819"
"Swindon";"E06000030";1946157355;"1254172763...1254173349;1254258876...1254259001"
"Torbay";"E06000027";1946157356;"1254171277...1254171732;1254258391...1254258404"
"Wiltshire";"E06000054";1946157357;"1254254989...1254256396;1254258743...1254258875"
"East Devon";"E07000040";1946157358;"1254194649...1254195093;1254258416...1254258419"
"Exeter";"E07000041";1946157359;"1254195094...1254195458;1254263803...1254263824"
"Mid Devon";"E07000042";1946157360;"1254195459...1254195697;1254258420...1254258434"
"North Devon";"E07000043";1946157361;"1254195698...1254195993;1254258435...1254258441"
"South Hams";"E07000044";1946157362;"1254195994...1254196276;1254258405...1254258407"
"Teignbridge";"E07000045";1946157363;"1254196277...1254196687;1254258408...1254258415"
"Torridge";"E07000046";1946157364;"1254196688...1254196889;1254258442...1254258452"
"West Devon";"E07000047";1946157365;"1254196890...1254197053;1254258453...1254258463"
"Christchurch";"E07000048";1946157366;"1254197054...1254197219"
"East Dorset";"E07000049";1946157367;"1254197220...1254197508;1254263420...1254263425"
